id,group,facility,start,duration,end_time,x,y,utility,DSSR_iterations,execution_time,cum_utility
6326443,education,377679,10:30:00,05:45:00,16:15:00,2577388,1184855,-32.362,2,0.018,-29.2
6326443,leisure,377159,16:20:00,00:20:00,16:40:00,2577930,1184036,-32.362,2,0.018,-32.362
6326443,home,home2781052,16:40:00,00:20:00,17:00:00,2569618,1192165,-32.362,2,0.018,-32.362
6326443,home,home2781052,17:00:00,07:00:00,23:59:00,2569618,1192165,-32.362,2,0.018,-32.362
6326447,home,home2781056,00:00:00,00:05:00,00:05:00,2569128,1192011,-50.04,2,0.027,0.0
6326447,home,home2781056,00:05:00,07:05:00,07:10:00,2569128,1192011,-50.04,2,0.027,0.0
6326447,shop,377155,07:10:00,00:35:00,07:45:00,2577784,1183910,-50.04,2,0.027,-10.5
6326447,home,home2781056,07:45:00,01:50:00,09:35:00,2569128,1192011,-50.04,2,0.027,-10.5
6326447,education,377679,09:40:00,01:05:00,10:45:00,2577388,1184855,-50.04,2,0.027,-29.1
6326447,work,167989,11:05:00,02:30:00,13:35:00,2574988,1196238,-50.04,2,0.027,-41.8
6326447,leisure,380332,14:00:00,00:40:00,14:40:00,2576304,1185284,-50.04,2,0.027,-50.04
6326447,home,home2781056,14:40:00,02:20:00,17:00:00,2569128,1192011,-50.04,2,0.027,-50.04
6326447,home,home2781056,17:00:00,07:00:00,23:59:00,2569128,1192011,-50.04,2,0.027,-50.04
6326449,home,home2781058,00:00:00,00:05:00,00:05:00,2569097,1192047,-19.24,2,0.015,0.0
6326449,home,home2781058,00:05:00,07:20:00,07:25:00,2569097,1192047,-19.24,2,0.015,0.0
6326449,leisure,380332,07:25:00,01:00:00,08:25:00,2576304,1185284,-19.24,2,0.015,-8.74
6326449,home,home2781058,08:25:00,01:45:00,10:10:00,2569097,1192047,-19.24,2,0.015,-8.74
6326449,shop,377155,10:10:00,00:15:00,10:25:00,2577784,1183910,-19.24,2,0.015,-19.24
6326449,home,home2781058,10:25:00,06:35:00,17:00:00,2569097,1192047,-19.24,2,0.015,-19.24
6326449,home,home2781058,17:00:00,07:00:00,23:59:00,2569097,1192047,-19.24,2,0.015,-19.24
6326457,home,home2781066,00:00:00,00:05:00,00:05:00,2570855,1191774,-23.67,8,0.047,0.0
6326457,home,home2781066,00:05:00,07:30:00,07:35:00,2570855,1191774,-23.67,8,0.047,0.0
6326457,shop,377155,07:40:00,00:40:00,08:20:00,2577784,1183910,-23.67,8,0.047,-10.4
6326457,leisure,377155,08:20:00,02:15:00,10:35:00,2577784,1183910,-23.67,8,0.047,-19.14
6326457,work,183318,11:10:00,00:55:00,12:05:00,2561220,1185426,-23.67,8,0.047,-24.47
6326457,home,home2781066,12:45:00,04:15:00,17:00:00,2570855,1191774,-23.67,8,0.047,-23.67
6326457,home,home2781066,17:00:00,07:00:00,23:59:00,2570855,1191774,-23.67,8,0.047,-23.67
6326461,home,home2781070,00:00:00,00:05:00,00:05:00,2570980,1191819,-31.14,11,0.065,0.0
6326461,home,home2781070,00:05:00,09:10:00,09:15:00,2570980,1191819,-31.14,11,0.065,0.0
6326461,shop,377155,09:20:00,00:15:00,09:35:00,2577784,1183910,-31.14,11,0.065,-10.4
6326461,home,home2781070,09:40:00,03:15:00,12:55:00,2570980,1191819,-31.14,11,0.065,-10.3
6326461,leisure,375697,13:20:00,02:05:00,15:25:00,2569734,1192310,-31.14,11,0.065,-18.54
6326461,work,467776,15:25:00,00:55:00,16:20:00,2575512,1197543,-31.14,11,0.065,-31.64
6326461,home,home2781070,16:45:00,00:15:00,17:00:00,2570980,1191819,-31.14,11,0.065,-31.14
6326461,home,home2781070,17:00:00,07:00:00,23:59:00,2570980,1191819,-31.14,11,0.065,-31.14
6326494,home,home2781103,00:00:00,00:05:00,00:05:00,2569779,1192228,-10.5,1,0.011,0.0
6326494,home,home2781103,00:05:00,08:40:00,08:45:00,2569779,1192228,-10.5,1,0.011,0.0
6326494,shop,377155,08:45:00,00:25:00,09:10:00,2577784,1183910,-10.5,1,0.011,-10.5
6326494,home,home2781103,09:10:00,07:50:00,17:00:00,2569779,1192228,-10.5,1,0.011,-10.5
6326494,home,home2781103,17:00:00,07:00:00,23:59:00,2569779,1192228,-10.5,1,0.011,-10.5
6326513,home,home2781122,00:00:00,00:05:00,00:05:00,2569717,1192131,-30.94,2,0.015,0.0
6326513,home,home2781122,00:05:00,07:05:00,07:10:00,2569717,1192131,-30.94,2,0.015,0.0
6326513,work,9185,07:45:00,01:10:00,08:55:00,2572500,1181906,-30.94,2,0.015,-12.4
6326513,home,home2781122,09:30:00,01:55:00,11:25:00,2569717,1192131,-30.94,2,0.015,-11.7
6326513,leisure,381922,11:25:00,00:15:00,11:40:00,2567712,1190524,-30.94,2,0.015,-20.44
6326513,home,home2781122,11:40:00,03:40:00,15:20:00,2569717,1192131,-30.94,2,0.015,-20.44
6326513,shop,377155,15:20:00,00:15:00,15:35:00,2577784,1183910,-30.94,2,0.015,-30.94
6326513,home,home2781122,15:35:00,01:25:00,17:00:00,2569717,1192131,-30.94,2,0.015,-30.94
6326513,home,home2781122,17:00:00,07:00:00,23:59:00,2569717,1192131,-30.94,2,0.015,-30.94
6326518,home,home2781127,00:00:00,00:05:00,00:05:00,2569698,1191830,-12.868,0,0.006,0.0
6326518,home,home2781127,00:05:00,12:05:00,12:10:00,2569698,1191830,-12.868,0,0.006,0.0
6326518,work,372280,13:00:00,01:35:00,14:35:00,2554568,1188242,-12.868,0,0.006,-12.1
6326518,home,home2781127,15:25:00,01:25:00,16:50:00,2569698,1191830,-12.868,0,0.006,-11.1
6326518,leisure,380332,16:50:00,00:10:00,17:00:00,2576304,1185284,-12.868,0,0.006,-12.868
6326518,home,home2781127,17:00:00,07:00:00,23:59:00,2569698,1191830,-12.868,0,0.006,-12.868
6326519,home,home2781128,00:00:00,00:05:00,00:05:00,2569881,1192478,-30.94,2,0.015,0.0
6326519,home,home2781128,00:05:00,06:00:00,06:05:00,2569881,1192478,-30.94,2,0.015,0.0
6326519,work,163826,06:40:00,03:25:00,10:05:00,2562354,1186117,-30.94,2,0.015,-12.4
6326519,shop,381921,10:40:00,00:10:00,10:50:00,2567684,1190696,-30.94,2,0.015,-22.2
6326519,home,home2781128,10:50:00,05:10:00,16:00:00,2569881,1192478,-30.94,2,0.015,-22.2
6326519,leisure,377159,16:00:00,00:15:00,16:15:00,2577930,1184036,-30.94,2,0.015,-30.94
6326519,home,home2781128,16:15:00,00:45:00,17:00:00,2569881,1192478,-30.94,2,0.015,-30.94
6326519,home,home2781128,17:00:00,07:00:00,23:59:00,2569881,1192478,-30.94,2,0.015,-30.94
6326521,home,home2781130,00:00:00,00:05:00,00:05:00,2570935,1191814,-19.04,3,0.025,0.0
6326521,home,home2781130,00:05:00,13:15:00,13:20:00,2570935,1191814,-19.04,3,0.025,0.0
6326521,leisure,377159,13:25:00,00:10:00,13:35:00,2577930,1184036,-19.04,3,0.025,-8.64
6326521,shop,377155,13:35:00,00:10:00,13:45:00,2577784,1183910,-19.04,3,0.025,-19.14
6326521,home,home2781130,13:50:00,03:10:00,17:00:00,2570935,1191814,-19.04,3,0.025,-19.04
6326521,home,home2781130,17:00:00,07:00:00,23:59:00,2570935,1191814,-19.04,3,0.025,-19.04
6326539,home,home2781148,00:00:00,00:05:00,00:05:00,2569512,1192062,-49.14,9,0.052,0.0
6326539,home,home2781148,00:05:00,08:50:00,08:55:00,2569512,1192062,-49.14,9,0.052,0.0
6326539,leisure,377159,08:55:00,00:10:00,09:05:00,2577930,1184036,-49.14,9,0.052,-8.74
6326539,shop,377155,09:05:00,00:35:00,09:40:00,2577784,1183910,-49.14,9,0.052,-19.24
6326539,education,377679,09:40:00,01:10:00,10:50:00,2577388,1184855,-49.14,9,0.052,-37.94
6326539,home,home2781148,10:55:00,01:55:00,12:50:00,2569512,1192062,-49.14,9,0.052,-37.84
6326539,work,377154,13:35:00,02:15:00,15:50:00,2555366,1188705,-49.14,9,0.052,-50.04
6326539,home,home2781148,16:35:00,00:25:00,17:00:00,2569512,1192062,-49.14,9,0.052,-49.14
6326539,home,home2781148,17:00:00,07:00:00,23:59:00,2569512,1192062,-49.14,9,0.052,-49.14
6326552,home,home2781161,00:00:00,00:05:00,00:05:00,2569903,1192184,-30.34,1,0.009,0.0
6326552,home,home2781161,00:05:00,07:10:00,07:15:00,2569903,1192184,-30.34,1,0.009,0.0
6326552,work,350140,08:05:00,01:50:00,09:55:00,2561338,1204461,-30.34,1,0.009,-12.1
6326552,shop,377155,10:45:00,00:10:00,10:55:00,2577784,1183910,-30.34,1,0.009,-21.6
6326552,home,home2781161,10:55:00,05:40:00,16:35:00,2569903,1192184,-30.34,1,0.009,-21.6
6326552,leisure,381922,16:35:00,00:15:00,16:50:00,2567712,1190524,-30.34,1,0.009,-30.34
6326552,home,home2781161,16:50:00,00:10:00,17:00:00,2569903,1192184,-30.34,1,0.009,-30.34
6326552,home,home2781161,17:00:00,07:00:00,23:59:00,2569903,1192184,-30.34,1,0.009,-30.34
6326556,home,home2781165,00:00:00,00:05:00,00:05:00,2569768,1192553,-37.94,2,0.016,0.0
6326556,home,home2781165,00:05:00,06:55:00,07:00:00,2569768,1192553,-37.94,2,0.016,0.0
6326556,shop,381921,07:00:00,00:15:00,07:15:00,2567684,1190696,-37.94,2,0.016,-10.5
6326556,home,home2781165,07:15:00,00:55:00,08:10:00,2569768,1192553,-37.94,2,0.016,-10.5
6326556,education,377679,08:10:00,03:35:00,11:45:00,2577388,1184855,-37.94,2,0.016,-29.2
6326556,home,home2781165,11:45:00,02:30:00,14:15:00,2569768,1192553,-37.94,2,0.016,-29.2
6326556,leisure,377155,14:15:00,01:25:00,15:40:00,2577784,1183910,-37.94,2,0.016,-37.94
6326556,home,home2781165,15:40:00,01:20:00,17:00:00,2569768,1192553,-37.94,2,0.016,-37.94
6326556,home,home2781165,17:00:00,07:00:00,23:59:00,2569768,1192553,-37.94,2,0.016,-37.94
6326560,home,home2781169,00:00:00,00:05:00,00:05:00,2569641,1192117,-22.4,1,0.011,0.0
6326560,home,home2781169,00:05:00,05:30:00,05:35:00,2569641,1192117,-22.4,1,0.011,0.0
6326560,work,32034,06:05:00,04:20:00,10:25:00,2562538,1185453,-22.4,1,0.011,-12.5
6326560,shop,380332,10:55:00,00:10:00,11:05:00,2576304,1185284,-22.4,1,0.011,-22.4
6326560,home,home2781169,11:05:00,05:55:00,17:00:00,2569641,1192117,-22.4,1,0.011,-22.4
6326560,home,home2781169,17:00:00,07:00:00,23:59:00,2569641,1192117,-22.4,1,0.011,-22.4
6326580,home,home2781189,00:00:00,00:05:00,00:05:00,2569878,1192610,-18.5,0,0.005,0.0
